Cliente,Dirección,Latitud,Longitud,Teléfono de contacto,Correo electrónico de contacto,Mes,Fecha
Cliente 34,"San Martín 800, Lanús",-34.567838,-58.530506,1160000034,cte34@duff.com.ar,May 2025,2025-05-01
Cliente 35,"Av. Libertador 15000, San Isidro",-34.461621,-58.489215,1160000035,cte35@duff.com.ar,May 2025,2025-05-01
Cliente 36,"Calle 12 y 44, La Plata",-34.555146,-58.465128,1160000036,cte36@duff.com.ar,May 2025,2025-05-01
Cliente 37,"Ruta 8 Km 30, San Miguel",-34.55255,-58.61984,1160000037,cte37@duff.com.ar,May 2025,2025-05-01
Cliente 38,"Av. Maipú 300, Vicente López",-34.450702,-58.490147,1160000038,cte38@duff.com.ar,May 2025,2025-05-01
Cliente 39,"San Martín 800, Lanús",-34.430155,-58.486955,1160000039,cte39@duff.com.ar,May 2025,2025-05-01
Cliente 40,"Av. Mitre 200, Quilmes",-34.486338,-58.71253,1160000040,cte40@duff.com.ar,May 2025,2025-05-01
Cliente 41,"Ruta 8 Km 30, San Miguel",-34.526457,-58.643919,1160000041,cte41@duff.com.ar,May 2025,2025-05-01
Cliente 42,"Av. Corrientes 1234, CABA",-34.551202,-58.360796,1160000042,cte42@duff.com.ar,May 2025,2025-05-01
Cliente 43,"Av. Corrientes 1234, CABA",-34.52138,-58.393181,1160000043,cte43@duff.com.ar,May 2025,2025-05-01
Cliente 44,"Calle 12 y 44, La Plata",-34.473772,-58.432075,1160000044,cte44@duff.com.ar,May 2025,2025-05-01
Cliente 45,"Av. Corrientes 1234, CABA",-34.499473,-58.519238,1160000045,cte45@duff.com.ar,May 2025,2025-05-01
Cliente 46,"Ruta 8 Km 30, San Miguel",-34.501496,-58.671903,1160000046,cte46@duff.com.ar,May 2025,2025-05-01
Cliente 47,"Ruta 8 Km 30, San Miguel",-34.45551,-58.637691,1160000047,cte47@duff.com.ar,May 2025,2025-05-01
Cliente 48,"Belgrano 500, Morón",-34.595137,-58.491811,1160000048,cte48@duff.com.ar,May 2025,2025-05-01
Cliente 49,"Av. Maipú 300, Vicente López",-34.564578,-58.373817,1160000049,cte49@duff.com.ar,May 2025,2025-05-01
Cliente 50,"Av. Rivadavia 1000, CABA",-34.409214,-58.384054,1160000050,cte50@duff.com.ar,May 2025,2025-05-01
Cliente 51,"Av. Libertador 15000, San Isidro",-34.525968,-58.743817,1160000051,cte51@duff.com.ar,May 2025,2025-05-01
Cliente 52,"Av. Hipólito Yrigoyen 16000, Lomas",-34.414336,-58.578726,1160000052,cte52@duff.com.ar,May 2025,2025-05-01
Cliente 53,"Av. Santa Fe 2300, Palermo",-34.406669,-58.364552,1160000053,cte53@duff.com.ar,May 2025,2025-05-01
Cliente 54,"Av. Corrientes 1234, CABA",-34.429398,-58.63222,1160000054,cte54@duff.com.ar,May 2025,2025-05-01
Cliente 55,"Calle 12 y 44, La Plata",-34.52298,-58.409545,1160000055,cte55@duff.com.ar,May 2025,2025-05-01
Cliente 56,"Av. Corrientes 1234, CABA",-34.536616,-58.682203,1160000056,cte56@duff.com.ar,May 2025,2025-05-01
Cliente 57,"Av. Santa Fe 2300, Palermo",-34.48864,-58.375538,1160000057,cte57@duff.com.ar,May 2025,2025-05-01
Cliente 58,"Av. Maipú 300, Vicente López",-34.460794,-58.521976,1160000058,cte58@duff.com.ar,May 2025,2025-05-01
Cliente 59,"Av. Calchaquí 2300, Quilmes",-34.580565,-58.503997,1160000059,cte59@duff.com.ar,May 2025,2025-05-01
Cliente 60,"Belgrano 500, Morón",-34.401989,-58.693966,1160000060,cte60@duff.com.ar,May 2025,2025-05-01
Cliente 61,"Ruta 8 Km 30, San Miguel",-34.496334,-58.399051,1160000061,cte61@duff.com.ar,May 2025,2025-05-01
Cliente 62,"Belgrano 500, Morón",-34.451846,-58.471194,1160000062,cte62@duff.com.ar,May 2025,2025-05-01
Cliente 63,"Av. Mitre 200, Quilmes",-34.459503,-58.606204,1160000063,cte63@duff.com.ar,May 2025,2025-05-01
Cliente 64,"Av. Libertador 15000, San Isidro",-34.541282,-58.426256,1160000064,cte64@duff.com.ar,May 2025,2025-05-01
Cliente 65,"Av. Corrientes 1234, CABA",-34.437977,-58.403171,1160000065,cte65@duff.com.ar,May 2025,2025-05-01
Cliente 66,"Av. Rivadavia 1000, CABA",-34.417352,-58.545463,1160000066,cte66@duff.com.ar,May 2025,2025-05-01
Cliente 67,"Av. Calchaquí 2300, Quilmes",-34.499697,-58.430682,1160000067,cte67@duff.com.ar,May 2025,2025-05-01
Cliente 68,"Av. Mitre 200, Quilmes",-34.470007,-58.469213,1160000068,cte68@duff.com.ar,May 2025,2025-05-01
Cliente 69,"Av. Maipú 300, Vicente López",-34.440841,-58.393998,1160000069,cte69@duff.com.ar,May 2025,2025-05-01
Cliente 70,"Av. Corrientes 1234, CABA",-34.532401,-58.599767,1160000070,cte70@duff.com.ar,May 2025,2025-05-01
Cliente 71,"Av. Mitre 200, Quilmes",-34.581204,-58.518688,1160000071,cte71@duff.com.ar,May 2025,2025-05-01
Cliente 72,"Av. Corrientes 1234, CABA",-34.592812,-58.563761,1160000072,cte72@duff.com.ar,May 2025,2025-05-01
Cliente 73,"Calle 12 y 44, La Plata",-34.491471,-58.635383,1160000073,cte73@duff.com.ar,May 2025,2025-05-01
Cliente 74,"Av. Maipú 300, Vicente López",-34.481833,-58.7378,1160000074,cte74@duff.com.ar,May 2025,2025-05-01
Cliente 75,"Av. Hipólito Yrigoyen 16000, Lomas",-34.59253,-58.42096,1160000075,cte75@duff.com.ar,May 2025,2025-05-01
Cliente 76,"Av. Calchaquí 2300, Quilmes",-34.527962,-58.699176,1160000076,cte76@duff.com.ar,May 2025,2025-05-01
Cliente 77,"Ruta 8 Km 30, San Miguel",-34.495551,-58.442003,1160000077,cte77@duff.com.ar,May 2025,2025-05-01
Cliente 78,"San Martín 800, Lanús",-34.556836,-58.500844,1160000078,cte78@duff.com.ar,May 2025,2025-05-01
Cliente 79,"Ruta 8 Km 30, San Miguel",-34.582931,-58.729327,1160000079,cte79@duff.com.ar,May 2025,2025-05-01
Cliente 80,"Ruta 8 Km 30, San Miguel",-34.493729,-58.533746,1160000080,cte80@duff.com.ar,May 2025,2025-05-01
Cliente 81,"Av. Mitre 200, Quilmes",-34.472514,-58.459563,1160000081,cte81@duff.com.ar,May 2025,2025-05-01
Cliente 82,"Av. Calchaquí 2300, Quilmes",-34.40483,-58.54348,1160000082,cte82@duff.com.ar,May 2025,2025-05-01
Cliente 83,"Av. Maipú 300, Vicente López",-34.535409,-58.431926,1160000083,cte83@duff.com.ar,May 2025,2025-05-01
Cliente 84,"Av. Libertador 15000, San Isidro",-34.545834,-58.574411,1160000084,cte84@duff.com.ar,May 2025,2025-05-01
Cliente 85,"Av. Calchaquí 2300, Quilmes",-34.584309,-58.73986,1160000085,cte85@duff.com.ar,May 2025,2025-05-01
Cliente 86,"Av. Calchaquí 2300, Quilmes",-34.40747,-58.415608,1160000086,cte86@duff.com.ar,May 2025,2025-05-01
Cliente 87,"Av. Corrientes 1234, CABA",-34.460805,-58.586419,1160000087,cte87@duff.com.ar,May 2025,2025-05-01
Cliente 88,"Belgrano 500, Morón",-34.565341,-58.687425,1160000088,cte88@duff.com.ar,May 2025,2025-05-01
Cliente 89,"Av. Calchaquí 2300, Quilmes",-34.549951,-58.530309,1160000089,cte89@duff.com.ar,May 2025,2025-05-01
Cliente 90,"San Martín 800, Lanús",-34.457081,-58.485921,1160000090,cte90@duff.com.ar,May 2025,2025-05-01
Cliente 91,"Av. Santa Fe 2300, Palermo",-34.544013,-58.368054,1160000091,cte91@duff.com.ar,May 2025,2025-05-01
Cliente 92,"Av. Libertador 15000, San Isidro",-34.452421,-58.528258,1160000092,cte92@duff.com.ar,May 2025,2025-05-01
Cliente 93,"Av. Mitre 200, Quilmes",-34.477656,-58.58216,1160000093,cte93@duff.com.ar,May 2025,2025-05-01
Cliente 94,"San Martín 800, Lanús",-34.550454,-58.607611,1160000094,cte94@duff.com.ar,May 2025,2025-05-01
Cliente 95,"Av. Hipólito Yrigoyen 16000, Lomas",-34.448431,-58.744243,1160000095,cte95@duff.com.ar,May 2025,2025-05-01
Cliente 96,"Calle 12 y 44, La Plata",-34.576785,-58.731599,1160000096,cte96@duff.com.ar,May 2025,2025-05-01
Cliente 97,"Av. Maipú 300, Vicente López",-34.591854,-58.407816,1160000097,cte97@duff.com.ar,May 2025,2025-05-01
Cliente 98,"Av. Calchaquí 2300, Quilmes",-34.459268,-58.56033,1160000098,cte98@duff.com.ar,May 2025,2025-05-01
Cliente 99,"Av. Libertador 15000, San Isidro",-34.580433,-58.553354,1160000099,cte99@duff.com.ar,May 2025,2025-05-01
Cliente 100,"Av. Santa Fe 2300, Palermo",-34.505306,-58.680719,1160000100,cte100@duff.com.ar,May 2025,2025-05-01
Cliente 101,"Av. Mitre 200, Quilmes",-34.51323,-58.590598,1160000101,cte101@duff.com.ar,May 2025,2025-05-01
Cliente 102,"Av. Calchaquí 2300, Quilmes",-34.47683,-58.495963,1160000102,cte102@duff.com.ar,May 2025,2025-05-01
Cliente 103,"Ruta 8 Km 30, San Miguel",-34.590939,-58.600155,1160000103,cte103@duff.com.ar,May 2025,2025-05-01
Cliente 104,"Av. Rivadavia 1000, CABA",-34.474828,-58.548745,1160000104,cte104@duff.com.ar,May 2025,2025-05-01
Cliente 105,"Av. Mitre 200, Quilmes",-34.428702,-58.486523,1160000105,cte105@duff.com.ar,May 2025,2025-05-01
Cliente 106,"Av. Rivadavia 1000, CABA",-34.567413,-58.721773,1160000106,cte106@duff.com.ar,May 2025,2025-05-01
Cliente 107,"Ruta 8 Km 30, San Miguel",-34.471516,-58.739395,1160000107,cte107@duff.com.ar,May 2025,2025-05-01
Cliente 108,"Calle 12 y 44, La Plata",-34.482845,-58.373908,1160000108,cte108@duff.com.ar,May 2025,2025-05-01
Cliente 109,"Av. Maipú 300, Vicente López",-34.484905,-58.594732,1160000109,cte109@duff.com.ar,May 2025,2025-05-01
Cliente 110,"Av. Corrientes 1234, CABA",-34.471342,-58.566699,1160000110,cte110@duff.com.ar,May 2025,2025-05-01
Cliente 111,"Av. Mitre 200, Quilmes",-34.490877,-58.373414,1160000111,cte111@duff.com.ar,May 2025,2025-05-01
Cliente 112,"Belgrano 500, Morón",-34.522779,-58.365524,1160000112,cte112@duff.com.ar,May 2025,2025-05-01
Cliente 113,"Av. Libertador 15000, San Isidro",-34.41893,-58.671684,1160000113,cte113@duff.com.ar,May 2025,2025-05-01
Cliente 114,"Ruta 8 Km 30, San Miguel",-34.586128,-58.709689,1160000114,cte114@duff.com.ar,May 2025,2025-05-01
Cliente 115,"Av. Mitre 200, Quilmes",-34.596356,-58.712223,1160000115,cte115@duff.com.ar,May 2025,2025-05-01
Cliente 116,"Av. Calchaquí 2300, Quilmes",-34.463399,-58.721525,1160000116,cte116@duff.com.ar,May 2025,2025-05-01
Cliente 117,"Av. Hipólito Yrigoyen 16000, Lomas",-34.536205,-58.41205,1160000117,cte117@duff.com.ar,May 2025,2025-05-01
Cliente 118,"Calle 12 y 44, La Plata",-34.595346,-58.424213,1160000118,cte118@duff.com.ar,May 2025,2025-05-01
Cliente 119,"Av. Calchaquí 2300, Quilmes",-34.543629,-58.702734,1160000119,cte119@duff.com.ar,May 2025,2025-05-01
Cliente 120,"Av. Hipólito Yrigoyen 16000, Lomas",-34.460653,-58.498423,1160000120,cte120@duff.com.ar,May 2025,2025-05-01
Cliente 121,"San Martín 800, Lanús",-34.424506,-58.455972,1160000121,cte121@duff.com.ar,May 2025,2025-05-01
Cliente 122,"Av. Maipú 300, Vicente López",-34.439304,-58.637186,1160000122,cte122@duff.com.ar,May 2025,2025-05-01
Cliente 123,"San Martín 800, Lanús",-34.564512,-58.449754,1160000123,cte123@duff.com.ar,May 2025,2025-05-01
Cliente 124,"Av. Mitre 200, Quilmes",-34.438633,-58.353798,1160000124,cte124@duff.com.ar,May 2025,2025-05-01
Cliente 125,"Av. Libertador 15000, San Isidro",-34.517476,-58.601193,1160000125,cte125@duff.com.ar,May 2025,2025-05-01
Cliente 126,"Av. Santa Fe 2300, Palermo",-34.444717,-58.613679,1160000126,cte126@duff.com.ar,May 2025,2025-05-01
Cliente 127,"Av. Santa Fe 2300, Palermo",-34.413849,-58.406635,1160000127,cte127@duff.com.ar,May 2025,2025-05-01
Cliente 128,"Av. Maipú 300, Vicente López",-34.514201,-58.449652,1160000128,cte128@duff.com.ar,May 2025,2025-05-01
Cliente 129,"Av. Libertador 15000, San Isidro",-34.449091,-58.70875,1160000129,cte129@duff.com.ar,May 2025,2025-05-01
Cliente 130,"Belgrano 500, Morón",-34.419489,-58.547899,1160000130,cte130@duff.com.ar,May 2025,2025-05-01
Cliente 131,"Calle 12 y 44, La Plata",-34.434709,-58.62198,1160000131,cte131@duff.com.ar,May 2025,2025-05-01
Cliente 132,"Belgrano 500, Morón",-34.420895,-58.594319,1160000132,cte132@duff.com.ar,May 2025,2025-05-01
Cliente 133,"Calle 12 y 44, La Plata",-34.597832,-58.387847,1160000133,cte133@duff.com.ar,May 2025,2025-05-01
Cliente 134,"Ruta 8 Km 30, San Miguel",-34.581743,-58.622275,1160000134,cte134@duff.com.ar,May 2025,2025-05-01
Cliente 135,"Av. Mitre 200, Quilmes",-34.409988,-58.369757,1160000135,cte135@duff.com.ar,May 2025,2025-05-01
Cliente 136,"San Martín 800, Lanús",-34.485312,-58.497265,1160000136,cte136@duff.com.ar,May 2025,2025-05-01
Cliente 137,"Av. Santa Fe 2300, Palermo",-34.510311,-58.632716,1160000137,cte137@duff.com.ar,May 2025,2025-05-01
Cliente 138,"Av. Hipólito Yrigoyen 16000, Lomas",-34.534267,-58.480993,1160000138,cte138@duff.com.ar,May 2025,2025-05-01
Cliente 139,"Av. Corrientes 1234, CABA",-34.449525,-58.433368,1160000139,cte139@duff.com.ar,May 2025,2025-05-01
Cliente 140,"Av. Rivadavia 1000, CABA",-34.442076,-58.713518,1160000140,cte140@duff.com.ar,May 2025,2025-05-01
Cliente 141,"Av. Corrientes 1234, CABA",-34.501116,-58.726976,1160000141,cte141@duff.com.ar,May 2025,2025-05-01
Cliente 142,"San Martín 800, Lanús",-34.490094,-58.573388,1160000142,cte142@duff.com.ar,May 2025,2025-05-01
Cliente 143,"Av. Calchaquí 2300, Quilmes",-34.422459,-58.609634,1160000143,cte143@duff.com.ar,May 2025,2025-05-01
Cliente 144,"San Martín 800, Lanús",-34.576587,-58.692803,1160000144,cte144@duff.com.ar,May 2025,2025-05-01
Cliente 145,"Av. Calchaquí 2300, Quilmes",-34.447698,-58.502713,1160000145,cte145@duff.com.ar,May 2025,2025-05-01
Cliente 146,"Calle 12 y 44, La Plata",-34.579775,-58.716357,1160000146,cte146@duff.com.ar,May 2025,2025-05-01
Cliente 147,"Belgrano 500, Morón",-34.459806,-58.720895,1160000147,cte147@duff.com.ar,May 2025,2025-05-01
Cliente 148,"Av. Corrientes 1234, CABA",-34.435628,-58.467503,1160000148,cte148@duff.com.ar,May 2025,2025-05-01
Cliente 149,"Calle 12 y 44, La Plata",-34.58373,-58.716065,1160000149,cte149@duff.com.ar,May 2025,2025-05-01
Cliente 150,"Calle 12 y 44, La Plata",-34.402672,-58.600292,1160000150,cte150@duff.com.ar,May 2025,2025-05-01
Cliente 151,"Belgrano 500, Morón",-34.525872,-58.42488,1160000151,cte151@duff.com.ar,May 2025,2025-05-01
Cliente 152,"Av. Hipólito Yrigoyen 16000, Lomas",-34.41055,-58.3556,1160000152,cte152@duff.com.ar,May 2025,2025-05-01
Cliente 153,"Av. Santa Fe 2300, Palermo",-34.449324,-58.599496,1160000153,cte153@duff.com.ar,May 2025,2025-05-01
Cliente 154,"Av. Maipú 300, Vicente López",-34.5833,-58.439141,1160000154,cte154@duff.com.ar,May 2025,2025-05-01
Cliente 155,"Av. Santa Fe 2300, Palermo",-34.488319,-58.580311,1160000155,cte155@duff.com.ar,May 2025,2025-05-01
Cliente 156,"Av. Rivadavia 1000, CABA",-34.418729,-58.705521,1160000156,cte156@duff.com.ar,May 2025,2025-05-01
Cliente 157,"Av. Calchaquí 2300, Quilmes",-34.501475,-58.745459,1160000157,cte157@duff.com.ar,May 2025,2025-05-01
Cliente 158,"Av. Libertador 15000, San Isidro",-34.506268,-58.727479,1160000158,cte158@duff.com.ar,May 2025,2025-05-01
Cliente 159,"Av. Corrientes 1234, CABA",-34.576236,-58.70299,1160000159,cte159@duff.com.ar,May 2025,2025-05-01
Cliente 160,"Av. Calchaquí 2300, Quilmes",-34.470158,-58.451582,1160000160,cte160@duff.com.ar,May 2025,2025-05-01
Cliente 161,"Av. Santa Fe 2300, Palermo",-34.483326,-58.365131,1160000161,cte161@duff.com.ar,May 2025,2025-05-01
Cliente 162,"Av. Maipú 300, Vicente López",-34.525026,-58.635715,1160000162,cte162@duff.com.ar,May 2025,2025-05-01
Cliente 163,"Av. Calchaquí 2300, Quilmes",-34.42628,-58.660562,1160000163,cte163@duff.com.ar,May 2025,2025-05-01
Cliente 164,"Ruta 8 Km 30, San Miguel",-34.407355,-58.745138,1160000164,cte164@duff.com.ar,May 2025,2025-05-01
Cliente 165,"Av. Corrientes 1234, CABA",-34.406024,-58.732736,1160000165,cte165@duff.com.ar,May 2025,2025-05-01
Cliente 166,"Av. Maipú 300, Vicente López",-34.421771,-58.53892,1160000166,cte166@duff.com.ar,May 2025,2025-05-01
Cliente 167,"Calle 12 y 44, La Plata",-34.401407,-58.720481,1160000167,cte167@duff.com.ar,May 2025,2025-05-01
Cliente 168,"San Martín 800, Lanús",-34.489229,-58.362279,1160000168,cte168@duff.com.ar,May 2025,2025-05-01
Cliente 169,"Av. Hipólito Yrigoyen 16000, Lomas",-34.49538,-58.498241,1160000169,cte169@duff.com.ar,May 2025,2025-05-01
Cliente 170,"Av. Rivadavia 1000, CABA",-34.46085,-58.568184,1160000170,cte170@duff.com.ar,May 2025,2025-05-01
Cliente 171,"Av. Libertador 15000, San Isidro",-34.474488,-58.516274,1160000171,cte171@duff.com.ar,May 2025,2025-05-01
Cliente 172,"Av. Libertador 15000, San Isidro",-34.419768,-58.731821,1160000172,cte172@duff.com.ar,May 2025,2025-05-01
Cliente 173,"Av. Maipú 300, Vicente López",-34.543807,-58.369835,1160000173,cte173@duff.com.ar,May 2025,2025-05-01
Cliente 174,"Av. Santa Fe 2300, Palermo",-34.421947,-58.567737,1160000174,cte174@duff.com.ar,May 2025,2025-05-01
Cliente 175,"San Martín 800, Lanús",-34.475973,-58.639048,1160000175,cte175@duff.com.ar,May 2025,2025-05-01
Cliente 176,"Av. Santa Fe 2300, Palermo",-34.562376,-58.564521,1160000176,cte176@duff.com.ar,May 2025,2025-05-01
Cliente 177,"Av. Corrientes 1234, CABA",-34.52933,-58.516538,1160000177,cte177@duff.com.ar,May 2025,2025-05-01
Cliente 178,"Av. Calchaquí 2300, Quilmes",-34.584453,-58.360242,1160000178,cte178@duff.com.ar,May 2025,2025-05-01
Cliente 179,"Av. Maipú 300, Vicente López",-34.402758,-58.470735,1160000179,cte179@duff.com.ar,May 2025,2025-05-01
Cliente 180,"Av. Calchaquí 2300, Quilmes",-34.492781,-58.626189,1160000180,cte180@duff.com.ar,May 2025,2025-05-01
Cliente 181,"Av. Santa Fe 2300, Palermo",-34.437241,-58.476108,1160000181,cte181@duff.com.ar,May 2025,2025-05-01
Cliente 182,"Belgrano 500, Morón",-34.567477,-58.385629,1160000182,cte182@duff.com.ar,May 2025,2025-05-01
Cliente 183,"Av. Mitre 200, Quilmes",-34.435493,-58.37008,1160000183,cte183@duff.com.ar,May 2025,2025-05-01
Cliente 184,"San Martín 800, Lanús",-34.454856,-58.504634,1160000184,cte184@duff.com.ar,May 2025,2025-05-01
Cliente 185,"Ruta 8 Km 30, San Miguel",-34.516351,-58.376909,1160000185,cte185@duff.com.ar,May 2025,2025-05-01
Cliente 186,"San Martín 800, Lanús",-34.426787,-58.731913,1160000186,cte186@duff.com.ar,May 2025,2025-05-01
Cliente 187,"Av. Santa Fe 2300, Palermo",-34.594727,-58.599415,1160000187,cte187@duff.com.ar,May 2025,2025-05-01
Cliente 188,"Av. Santa Fe 2300, Palermo",-34.437889,-58.35509,1160000188,cte188@duff.com.ar,May 2025,2025-05-01
Cliente 189,"Av. Rivadavia 1000, CABA",-34.569917,-58.512348,1160000189,cte189@duff.com.ar,May 2025,2025-05-01
Cliente 190,"Belgrano 500, Morón",-34.523822,-58.362034,1160000190,cte190@duff.com.ar,May 2025,2025-05-01
Cliente 191,"Ruta 8 Km 30, San Miguel",-34.431576,-58.414669,1160000191,cte191@duff.com.ar,May 2025,2025-05-01
Cliente 192,"Av. Hipólito Yrigoyen 16000, Lomas",-34.506261,-58.584072,1160000192,cte192@duff.com.ar,May 2025,2025-05-01
Cliente 193,"Av. Rivadavia 1000, CABA",-34.545319,-58.72745,1160000193,cte193@duff.com.ar,May 2025,2025-05-01
Cliente 194,"Av. Corrientes 1234, CABA",-34.427056,-58.42484,1160000194,cte194@duff.com.ar,May 2025,2025-05-01
Cliente 195,"Ruta 8 Km 30, San Miguel",-34.400056,-58.351345,1160000195,cte195@duff.com.ar,May 2025,2025-05-01
Cliente 196,"Av. Maipú 300, Vicente López",-34.488914,-58.442405,1160000196,cte196@duff.com.ar,May 2025,2025-05-01
Cliente 197,"Av. Mitre 200, Quilmes",-34.411047,-58.410141,1160000197,cte197@duff.com.ar,May 2025,2025-05-01
Cliente 198,"Av. Rivadavia 1000, CABA",-34.55053,-58.569782,1160000198,cte198@duff.com.ar,May 2025,2025-05-01
Cliente 199,"Av. Mitre 200, Quilmes",-34.574168,-58.36838,1160000199,cte199@duff.com.ar,May 2025,2025-05-01
Cliente 200,"Belgrano 500, Morón",-34.478765,-58.658543,1160000200,cte200@duff.com.ar,May 2025,2025-05-01
Cliente 201,"Av. Corrientes 1234, CABA",-34.46566,-58.502749,1160000201,cte201@duff.com.ar,May 2025,2025-05-01
Cliente 202,"Av. Corrientes 1234, CABA",-34.528367,-58.704577,1160000202,cte202@duff.com.ar,May 2025,2025-05-01
Cliente 203,"Av. Libertador 15000, San Isidro",-34.465685,-58.541877,1160000203,cte203@duff.com.ar,May 2025,2025-05-01
Cliente 204,"Av. Hipólito Yrigoyen 16000, Lomas",-34.445536,-58.541935,1160000204,cte204@duff.com.ar,May 2025,2025-05-01
Cliente 205,"Av. Corrientes 1234, CABA",-34.429564,-58.529237,1160000205,cte205@duff.com.ar,May 2025,2025-05-01
Cliente 206,"Av. Santa Fe 2300, Palermo",-34.487812,-58.399339,1160000206,cte206@duff.com.ar,May 2025,2025-05-01
Cliente 207,"San Martín 800, Lanús",-34.519303,-58.696394,1160000207,cte207@duff.com.ar,May 2025,2025-05-01
Cliente 208,"San Martín 800, Lanús",-34.594243,-58.447945,1160000208,cte208@duff.com.ar,May 2025,2025-05-01
Cliente 209,"Av. Calchaquí 2300, Quilmes",-34.475938,-58.468368,1160000209,cte209@duff.com.ar,May 2025,2025-05-01
Cliente 210,"Av. Hipólito Yrigoyen 16000, Lomas",-34.557407,-58.695451,1160000210,cte210@duff.com.ar,May 2025,2025-05-01
Cliente 211,"Av. Santa Fe 2300, Palermo",-34.597091,-58.609765,1160000211,cte211@duff.com.ar,May 2025,2025-05-01
Cliente 212,"San Martín 800, Lanús",-34.482016,-58.593102,1160000212,cte212@duff.com.ar,May 2025,2025-05-01
