Fecha,Cliente,Dirección,Estado,Región,Método_venta,Producto,Género,Cantidad_entregas
2025-05-01,1064,Ronda Elpidio Serrano 50,Mendoza,NOA,Online,Calzado deportivo,Otro,1
2025-05-01,1065,Glorieta de Wálter Morillo 56 Piso 4 ,Córdoba,NOA,Tienda física,Calzado deportivo,Femenino,1
2025-05-01,1066,Plaza de Maribel Azorin 23,Buenos Aires,Centro,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1067,Urbanización Heraclio Almagro 323,Mendoza,NOA,Tienda física,Accesorios,Otro,1
2025-05-01,1068,Camino Isaías Sola 35 Puerta 9 ,Salta,CABA,Tienda física,Accesorios,Masculino,1
2025-05-01,1069,Cañada Cándido Amigó 79,Córdoba,Litoral,Online,Calzado deportivo,Otro,1
2025-05-01,1070,Avenida Dora Herrero 5 Puerta 9 ,Salta,Centro,Tienda física,Ropa deportiva,Otro,1
2025-05-01,1071,Acceso Berta Romero 91,Córdoba,Litoral,Online,Accesorios,Otro,1
2025-05-01,1072,Ronda Pacífica Trillo 7 Piso 7 ,Santa Fe,NOA,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1073,Rambla de Macarena Vélez 99,Buenos Aires,Cuyo,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1074,Ronda de Paola Ledesma 23 Piso 7 ,Santa Fe,Centro,Tienda física,Calzado deportivo,Otro,1
2025-05-01,1075,Camino de Emilia Pinilla 80,Mendoza,NOA,Tienda física,Accesorios,Masculino,1
2025-05-01,1076,Cuesta Ibán Pacheco 55 Puerta 4 ,Buenos Aires,CABA,Online,Accesorios,Masculino,1
2025-05-01,1077,Avenida Jose Antonio Ramos 48,Santa Fe,NOA,Online,Ropa deportiva,Masculino,1
2025-05-01,1078,Pasaje de Mónica Alemany 5 Apt. 63 ,Buenos Aires,Litoral,Tienda física,Calzado deportivo,Femenino,1
2025-05-01,1079,Cuesta de Carolina Núñez 68 Piso 7 ,Córdoba,Centro,Online,Ropa deportiva,Otro,1
2025-05-01,1080,Callejón de Jerónimo Carrillo 25 Puerta 8 ,Mendoza,NOA,Online,Calzado deportivo,Masculino,1
2025-05-01,1081,Glorieta Mamen Tomé 99,Córdoba,Cuyo,Online,Calzado deportivo,Otro,1
2025-05-01,1082,Glorieta Manu Gordillo 52 Apt. 82 ,Santa Fe,Cuyo,Online,Ropa deportiva,Masculino,1
2025-05-01,1083,Calle Carolina Manzano 27 Apt. 94 ,Buenos Aires,Cuyo,Online,Ropa deportiva,Masculino,1
2025-05-01,1084,Pasaje de Noé Espinosa 5 Piso 1 ,Córdoba,Cuyo,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1085,Cuesta de Candelario Baeza 52,Córdoba,CABA,Online,Ropa deportiva,Femenino,1
2025-05-01,1086,Via Celestina Rico 499,Santa Fe,CABA,Tienda física,Ropa deportiva,Otro,1
2025-05-01,1087,Pasaje de Manuel Romeu 19 Puerta 1 ,Salta,Cuyo,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1088,Callejón Gertrudis Bertrán 33,Santa Fe,Centro,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1089,Plaza Sebastian Sanjuan 174,Salta,Cuyo,Tienda física,Accesorios,Femenino,1
2025-05-01,1090,Cañada de Julia Santiago 4,Mendoza,NOA,Online,Ropa deportiva,Otro,1
2025-05-01,1091,Ronda Darío Gomila 34 Apt. 02 ,Córdoba,Litoral,Online,Accesorios,Femenino,1
2025-05-01,1092,Pasaje de Edelmiro Solís 56 Puerta 8 ,Buenos Aires,NOA,Online,Ropa deportiva,Femenino,1
2025-05-01,1093,Avenida de Elba Ariño 55 Apt. 13 ,Buenos Aires,Litoral,Tienda física,Accesorios,Masculino,1
2025-05-01,1094,Camino de Apolinar Díez 88,Santa Fe,NOA,Tienda física,Accesorios,Femenino,1
2025-05-01,1095,Camino Tristán Téllez 8 Piso 6 ,Santa Fe,Cuyo,Tienda física,Accesorios,Masculino,1
2025-05-01,1096,Via de Rosa Cuevas 86 Piso 6 ,Córdoba,Cuyo,Tienda física,Accesorios,Otro,1
2025-05-01,1097,Avenida de Maxi Iniesta 71,Córdoba,NOA,Tienda física,Ropa deportiva,Otro,1
2025-05-01,1098,Ronda de Baltasar Expósito 859,Buenos Aires,Litoral,Tienda física,Calzado deportivo,Femenino,1
2025-05-01,1099,Glorieta Juanito Castro 87 Apt. 09 ,Salta,NOA,Tienda física,Ropa deportiva,Femenino,1
2025-05-01,1100,Cañada Carmen Alcalá 461,Mendoza,Centro,Tienda física,Accesorios,Masculino,1
2025-05-01,1101,Via de Flora Correa 94,Buenos Aires,Litoral,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1102,Cuesta de Agustina Hervás 38 Piso 3 ,Santa Fe,Centro,Online,Calzado deportivo,Masculino,1
2025-05-01,1103,Callejón María Teresa Ribera 58,Buenos Aires,Centro,Tienda física,Accesorios,Masculino,1
2025-05-01,1104,Cañada de Pilar Tovar 97,Mendoza,Cuyo,Online,Accesorios,Otro,1
2025-05-01,1105,Alameda de Carmina Pi 45 Puerta 3 ,Mendoza,Cuyo,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1106,Ronda Armando Monreal 76 Puerta 2 ,Buenos Aires,CABA,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1107,Vial Ani Mármol 8 Apt. 87 ,Salta,Cuyo,Online,Accesorios,Masculino,1
2025-05-01,1108,Ronda Sabina Cortes 8,Buenos Aires,Cuyo,Online,Ropa deportiva,Otro,1
2025-05-01,1109,C. de Florentina Bernat 78 Piso 7 ,Salta,NOA,Tienda física,Ropa deportiva,Otro,1
2025-05-01,1110,Urbanización Evangelina Madrigal 71,Salta,Cuyo,Tienda física,Calzado deportivo,Otro,1
2025-05-01,1111,Pasaje Flavio Marí 1,Mendoza,Cuyo,Tienda física,Calzado deportivo,Otro,1
2025-05-01,1112,Cañada Plinio Perera 42 Puerta 6 ,Santa Fe,NOA,Tienda física,Accesorios,Masculino,1
2025-05-01,1113,Rambla Cayetano Piñeiro 337,Santa Fe,Cuyo,Online,Accesorios,Femenino,1
2025-05-01,1114,Callejón de Ángel Jara 8,Córdoba,Litoral,Tienda física,Ropa deportiva,Otro,1
2025-05-01,1115,Avenida Vasco Ojeda 546 Piso 4 ,Buenos Aires,Centro,Online,Calzado deportivo,Femenino,1
2025-05-01,1116,Cuesta de Custodio Gálvez 69,Córdoba,Centro,Online,Ropa deportiva,Femenino,1
2025-05-01,1117,Plaza de Paula Priego 10 Puerta 7 ,Santa Fe,NOA,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1118,Acceso Isidoro Falcón 242 Puerta 0 ,Córdoba,Cuyo,Tienda física,Accesorios,Otro,1
2025-05-01,1119,Calle de Cruz Patiño 51 Piso 6 ,Buenos Aires,NOA,Tienda física,Ropa deportiva,Masculino,1
2025-05-02,1120,Vial Miriam Paz 384,Santa Fe,Cuyo,Tienda física,Accesorios,Otro,1
2025-05-02,1121,Cañada de Margarita Nevado 8 Apt. 23 ,Salta,NOA,Online,Ropa deportiva,Masculino,1
2025-05-02,1122,Avenida de Morena Prat 5 Puerta 1 ,Santa Fe,Cuyo,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1123,Callejón de Daniela Piquer 41 Piso 0 ,Santa Fe,Cuyo,Online,Ropa deportiva,Masculino,1
2025-05-02,1124,Avenida Fabiola Simó 26 Apt. 00 ,Salta,NOA,Online,Ropa deportiva,Otro,1
2025-05-02,1125,Via de Cleto Guitart 826 Piso 8 ,Salta,CABA,Online,Accesorios,Femenino,1
2025-05-02,1126,Ronda Fátima Cabeza 79 Piso 0 ,Córdoba,Cuyo,Online,Calzado deportivo,Femenino,1
2025-05-02,1127,Pasaje Victor Guzman 61 Puerta 5 ,Mendoza,Litoral,Online,Ropa deportiva,Femenino,1
2025-05-02,1128,Callejón de Goyo Carvajal 41,Santa Fe,Cuyo,Tienda física,Ropa deportiva,Femenino,1
2025-05-02,1129,Alameda Jose Francisco Casas 931,Buenos Aires,Cuyo,Online,Accesorios,Otro,1
2025-05-02,1130,Urbanización Nando Coloma 304,Buenos Aires,Litoral,Online,Accesorios,Masculino,1
2025-05-02,1131,Rambla de Damián Amigó 60,Buenos Aires,CABA,Online,Calzado deportivo,Masculino,1
2025-05-02,1132,Plaza de Félix Lara 3,Salta,Centro,Online,Calzado deportivo,Femenino,1
2025-05-02,1133,Avenida Alba Sanabria 28 Piso 8 ,Buenos Aires,NOA,Online,Ropa deportiva,Otro,1
2025-05-02,1134,Pasadizo Marcial Sedano 1,Santa Fe,Litoral,Online,Accesorios,Otro,1
2025-05-02,1135,Ronda de Itziar Campoy 27 Apt. 59 ,Buenos Aires,Centro,Tienda física,Calzado deportivo,Otro,1
2025-05-02,1136,Vial Leonardo Morcillo 99,Buenos Aires,Litoral,Tienda física,Ropa deportiva,Otro,1
2025-05-02,1137,Pasadizo de Elodia Ros 2 Puerta 8 ,Córdoba,CABA,Online,Calzado deportivo,Otro,1
2025-05-02,1138,Pasaje de Susanita Gracia 85,Santa Fe,NOA,Online,Accesorios,Masculino,1
2025-05-02,1139,Via de Matías Roldán 64 Apt. 71 ,Santa Fe,NOA,Tienda física,Accesorios,Femenino,1
2025-05-02,1140,Avenida Toni Bárcena 92,Buenos Aires,NOA,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1141,Via de Segismundo Otero 50,Mendoza,CABA,Tienda física,Ropa deportiva,Otro,1
2025-05-02,1142,Via de Crescencia Vera 82 Apt. 15 ,Mendoza,Centro,Tienda física,Calzado deportivo,Otro,1
2025-05-02,1143,Callejón Consuela Gonzalo 98 Apt. 94 ,Salta,Litoral,Tienda física,Ropa deportiva,Femenino,1
2025-05-02,1144,Callejón Julia Mendizábal 15,Salta,Litoral,Tienda física,Calzado deportivo,Masculino,1
2025-05-02,1145,Camino Gema Pérez 3,Santa Fe,Cuyo,Online,Ropa deportiva,Otro,1
2025-05-02,1146,Pasadizo Ildefonso Peñalver 67,Salta,Cuyo,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1147,Cañada de Lorena Morata 191,Santa Fe,Centro,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1148,Calle Ileana Bilbao 77,Santa Fe,Litoral,Tienda física,Accesorios,Otro,1
2025-05-02,1149,Ronda de Leandro Garriga 715 Apt. 49 ,Santa Fe,NOA,Online,Accesorios,Masculino,1
2025-05-02,1150,Calle de Isidro Prats 400 Piso 3 ,Buenos Aires,Centro,Tienda física,Ropa deportiva,Otro,1
2025-05-02,1151,Cañada de Nacio Carretero 8,Córdoba,Cuyo,Tienda física,Ropa deportiva,Masculino,1
2025-05-02,1152,Vial Ricardo Grau 285 Piso 0 ,Buenos Aires,Litoral,Online,Ropa deportiva,Otro,1
2025-05-02,1153,Pasaje África Bermejo 79 Puerta 6 ,Córdoba,Litoral,Tienda física,Ropa deportiva,Otro,1
2025-05-02,1154,Via de Sandalio Almansa 82 Puerta 5 ,Salta,Litoral,Tienda física,Accesorios,Otro,1
2025-05-02,1155,Via de Jose Francisco Ruano 268,Santa Fe,Litoral,Tienda física,Ropa deportiva,Femenino,1
2025-05-02,1156,Alameda de Ismael Mínguez 91 Puerta 1 ,Santa Fe,Centro,Online,Accesorios,Masculino,1
2025-05-02,1157,Acceso de Lucía Coloma 31,Santa Fe,CABA,Online,Calzado deportivo,Masculino,1
2025-05-02,1158,Rambla Eligia Coronado 3 Puerta 7 ,Mendoza,Litoral,Tienda física,Calzado deportivo,Masculino,1
2025-05-02,1159,Camino de Fernanda Moraleda 82 Apt. 77 ,Santa Fe,Centro,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1160,Camino de Basilio Ortiz 814 Piso 0 ,Buenos Aires,NOA,Online,Ropa deportiva,Masculino,1
2025-05-02,1161,Cañada de Carmelo Bosch 798,Buenos Aires,NOA,Tienda física,Accesorios,Masculino,1
2025-05-02,1162,Pasaje Violeta Fabra 89 Puerta 2 ,Mendoza,CABA,Online,Accesorios,Femenino,1
2025-05-02,1163,Via de Obdulia Nuñez 9,Mendoza,Cuyo,Tienda física,Ropa deportiva,Masculino,1
2025-05-02,1164,Urbanización Laura Río 98,Buenos Aires,Litoral,Tienda física,Calzado deportivo,Masculino,1
2025-05-02,1165,Acceso de Yéssica Luna 66,Mendoza,Cuyo,Online,Accesorios,Otro,1
2025-05-02,1166,Avenida de Narciso Busquets 564,Buenos Aires,Centro,Online,Accesorios,Femenino,1
2025-05-02,1167,Avenida de Dafne Cid 74,Buenos Aires,Centro,Online,Accesorios,Femenino,1
2025-05-02,1168,Cañada Celia Peñas 92,Salta,NOA,Online,Accesorios,Femenino,1
2025-05-02,1169,Pasadizo de Porfirio Alfaro 34,Mendoza,Cuyo,Tienda física,Accesorios,Femenino,1
2025-05-02,1170,Cuesta de Gregorio Gonzalo 22,Santa Fe,NOA,Online,Accesorios,Otro,1
2025-05-02,1171,Pasadizo María Manuela Zurita 6 Puerta 2 ,Buenos Aires,Centro,Online,Ropa deportiva,Otro,1
2025-05-02,1172,Rambla Gerardo Daza 70 Piso 3 ,Buenos Aires,Centro,Online,Calzado deportivo,Otro,1
2025-05-02,1173,Pasaje de Joaquín Haro 47 Piso 9 ,Buenos Aires,Centro,Online,Ropa deportiva,Femenino,1
2025-05-02,1174,Cañada de Mayte Piña 386 Apt. 92 ,Salta,Cuyo,Tienda física,Calzado deportivo,Masculino,1
2025-05-02,1175,Cuesta Sandra Pera 218 Piso 1 ,Santa Fe,Litoral,Tienda física,Calzado deportivo,Otro,1
2025-05-02,1176,Pasaje de Vicenta Vilanova 26,Córdoba,Litoral,Online,Ropa deportiva,Masculino,1
2025-05-02,1177,Acceso de Amando Ribera 7,Salta,Centro,Online,Ropa deportiva,Masculino,1
2025-05-02,1178,C. Ceferino Perera 60 Apt. 52 ,Buenos Aires,CABA,Online,Ropa deportiva,Otro,1
2025-05-02,1179,Cañada Yéssica Sureda 87,Salta,Litoral,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1180,Plaza José María Garriga 98,Santa Fe,Cuyo,Tienda física,Accesorios,Otro,1
2025-05-02,1181,Cañada Jordán Mascaró 1 Apt. 69 ,Mendoza,Cuyo,Online,Accesorios,Masculino,1
2025-05-02,1182,Via Piedad Valero 980 Puerta 3 ,Mendoza,Litoral,Tienda física,Calzado deportivo,Masculino,1
2025-05-02,1183,Ronda de Abel Osorio 79,Córdoba,NOA,Online,Accesorios,Femenino,1
2025-05-02,1184,Pasadizo Poncio Bauzà 988,Salta,CABA,Online,Ropa deportiva,Otro,1
2025-05-02,1185,Cuesta de Armando Pombo 14,Mendoza,Litoral,Online,Accesorios,Femenino,1
2025-05-02,1186,Acceso Jose Angel Calleja 152 Piso 8 ,Mendoza,CABA,Tienda física,Ropa deportiva,Femenino,1
2025-05-02,1187,Pasaje Josefa Tejero 22 Puerta 7 ,Santa Fe,Litoral,Online,Calzado deportivo,Femenino,1
2025-05-02,1188,Glorieta de Armando Flores 6,Mendoza,Cuyo,Tienda física,Accesorios,Femenino,1
2025-05-02,1189,Paseo de Ainara Isern 4 Piso 5 ,Salta,CABA,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1190,Callejón de Edelmiro Pedro 86,Santa Fe,Litoral,Online,Ropa deportiva,Otro,1
2025-05-02,1191,Rambla de Anabel Valencia 58 Apt. 61 ,Buenos Aires,NOA,Tienda física,Ropa deportiva,Masculino,1
2025-05-02,1192,Paseo Lázaro Montesinos 2 Piso 4 ,Córdoba,NOA,Tienda física,Accesorios,Femenino,1
2025-05-02,1193,Ronda de Flavio Saldaña 17 Puerta 5 ,Mendoza,CABA,Online,Ropa deportiva,Otro,1
2025-05-02,1194,Calle de Carlito Ramis 38 Apt. 29 ,Córdoba,Litoral,Tienda física,Accesorios,Femenino,1
2025-05-02,1195,Vial Bonifacio Guzman 75 Puerta 0 ,Buenos Aires,CABA,Online,Accesorios,Masculino,1
2025-05-02,1196,Acceso de Ramiro Saldaña 3,Santa Fe,NOA,Online,Accesorios,Femenino,1
2025-05-02,1197,Alameda de Florentina Lopez 11 Puerta 2 ,Buenos Aires,Centro,Online,Ropa deportiva,Masculino,1
2025-05-02,1198,Paseo de Desiderio Juárez 47 Puerta 4 ,Córdoba,Cuyo,Tienda física,Accesorios,Otro,1
2025-05-02,1199,Via Elpidio Benavent 82 Apt. 55 ,Santa Fe,Cuyo,Tienda física,Ropa deportiva,Masculino,1
2025-05-02,1200,Cañada de Renata Criado 95,Mendoza,NOA,Online,Ropa deportiva,Masculino,1
2025-05-02,1201,Glorieta Mónica Chamorro 17,Salta,NOA,Online,Calzado deportivo,Femenino,1
2025-05-02,1202,Pasaje de Nieves Castilla 511 Piso 7 ,Mendoza,Litoral,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1203,Camino de Candelario Casares 81 Piso 8 ,Santa Fe,NOA,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1204,Paseo Felicidad Espada 96 Apt. 18 ,Salta,Cuyo,Tienda física,Ropa deportiva,Otro,1
2025-05-02,1205,Rambla de Felix Mora 95,Salta,Cuyo,Tienda física,Ropa deportiva,Masculino,1
2025-05-02,1206,Callejón Haroldo Llobet 94 Apt. 82 ,Córdoba,NOA,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1207,Alameda Purificación Armengol 2,Buenos Aires,Litoral,Tienda física,Accesorios,Femenino,1
2025-05-02,1208,Glorieta de María Fernanda Riera 907,Mendoza,Centro,Tienda física,Calzado deportivo,Masculino,1
2025-05-02,1209,Cuesta de Jose Ignacio Ramis 27 Puerta 0 ,Salta,NOA,Tienda física,Calzado deportivo,Femenino,1
2025-05-02,1210,Ronda de Alondra Sobrino 35,Buenos Aires,NOA,Tienda física,Calzado deportivo,Otro,1
2025-05-02,1211,Acceso de Sabas Castrillo 98 Apt. 53 ,Córdoba,Cuyo,Online,Calzado deportivo,Femenino,1
2025-05-02,1212,Callejón Vinicio Huguet 11 Piso 6 ,Santa Fe,Litoral,Tienda física,Accesorios,Masculino,1
2025-05-02,1213,Rambla Odalys Morán 353 Piso 8 ,Santa Fe,NOA,Tienda física,Ropa deportiva,Otro,1
2025-05-02,1214,Cañada de Anastasia Alvarado 7 Puerta 7 ,Mendoza,NOA,Online,Accesorios,Masculino,1
2025-05-02,1215,Camino Patricio Atienza 5,Córdoba,Litoral,Online,Accesorios,Masculino,1
2025-05-02,1216,Cañada de Brunilda Aguiló 7 Apt. 45 ,Mendoza,CABA,Online,Ropa deportiva,Masculino,1
2025-05-02,1217,Calle de Salvador Azcona 683 Puerta 4 ,Santa Fe,CABA,Online,Ropa deportiva,Masculino,1
2025-05-02,1218,Pasadizo de Virgilio Losa 391,Santa Fe,Litoral,Tienda física,Ropa deportiva,Masculino,1
2025-05-02,1219,Acceso de Narcisa Nicolau 452,Córdoba,NOA,Tienda física,Accesorios,Otro,1
2025-05-02,1220,Calle Antonio Cerro 97 Piso 2 ,Córdoba,Centro,Online,Calzado deportivo,Otro,1
2025-05-02,1221,Alameda de Fermín Pozo 649,Mendoza,NOA,Online,Ropa deportiva,Otro,1
2025-05-05,1222,Cuesta de Olalla Alegria 25 Piso 9 ,Córdoba,Cuyo,Tienda física,Ropa deportiva,Femenino,1
2025-05-05,1223,Cuesta Juan Manuel Goñi 8 Apt. 89 ,Buenos Aires,Cuyo,Tienda física,Accesorios,Otro,1
2025-05-05,1224,Urbanización Amílcar Canet 80 Piso 6 ,Córdoba,CABA,Tienda física,Ropa deportiva,Otro,1
2025-05-05,1225,Glorieta de Segismundo Valls 370,Santa Fe,Cuyo,Tienda física,Ropa deportiva,Femenino,1
2025-05-05,1226,Cuesta de Begoña Peñas 82,Córdoba,Cuyo,Tienda física,Calzado deportivo,Masculino,1
2025-05-05,1227,Callejón de Emilia Tomé 53 Puerta 4 ,Mendoza,NOA,Tienda física,Accesorios,Femenino,1
2025-05-05,1228,Cañada de Julie Galan 85,Santa Fe,CABA,Tienda física,Ropa deportiva,Masculino,1
2025-05-05,1229,Cañada de Domingo Pino 35 Piso 0 ,Salta,CABA,Tienda física,Ropa deportiva,Masculino,1
