Cliente,Dirección,Latitud,Longitud,Teléfono,Correo electrónico,Fecha,Mes,Cantidad_entregas
86,Calle Yrigoyen 5964,-34.696432,-58.434261,+34 949 224 535,jordipera@corbacho-real.com,2025-09-26,9,1
91,Calle Yrigoyen 4707,-34.72285,-58.317789,+34 723 238 790,ruth43@villar.es,2025-05-02,5,1
92,Calle Emilio Castro 7186,-34.851718,-58.504731,+34735 07 31 97,nestorcervera@gmail.com,2025-09-01,9,1
107,Avenida Directorio 3368,-34.785465,-58.413488,+34747015103,yessica77@gmail.com,2025-06-02,6,1
108,Avenida San Martín 5237,-34.769622,-58.332258,+34 632 43 56 31,ibauza@gmail.com,2025-09-19,9,1
108,Avenida Santa Fe 1192,-34.679758,-58.531728,+34 704231007,riorodolfo@yahoo.com,2025-06-17,6,1
108,Calle Segurola 2406,-34.65646,-58.390016,+34991 422 345,zlarrea@yahoo.com,2025-09-15,9,1
109,Avenida Cabildo 1957,-34.63973,-58.511396,+34 738 100 899,czapata@paniagua.com,2025-07-23,7,1
112,Avenida San Martín 413,-34.658073,-58.354834,+34 722 58 22 56,epujol@gmail.com,2025-09-26,9,1
114,Avenida Rivadavia 4766,-34.843051,-58.363901,+34 716 49 99 46,lbolanos@gmail.com,2025-10-25,10,1
117,Avenida Cabildo 2119,-34.788516,-58.52821,+34 718 37 98 52,corneliobaena@pulido-domingo.es,2025-07-30,7,1
117,Calle 25 de Mayo 5553,-34.806059,-58.528578,+34 730068554,gisela70@alonso.com,2025-05-22,5,1
123,Avenida Rivadavia 4161,-34.735537,-58.307076,+34708901912,omarayuso@yahoo.com,2025-08-26,8,1
131,Calle Emilio Castro 1879,-34.7737,-58.356954,+34 723 86 25 43,dredondo@benitez.es,2025-10-17,10,1
137,Avenida Corrientes 934,-34.729683,-58.399845,+34822716132,icriado@pomares.com,2025-08-12,8,1
139,Calle 25 de Mayo 7740,-34.745749,-58.355218,+34985 95 80 51,juan-pablorueda@tolosa.es,2025-08-22,8,1
150,Avenida del Libertador 723,-34.886447,-58.534991,+34745117749,isabater@talavera.es,2025-05-15,5,1
151,Avenida Directorio 2913,-34.610004,-58.367145,+34 888 094 408,loida10@coello-roman.com,2025-06-04,6,1
152,Avenida Directorio 3683,-34.676193,-58.303741,+34613096292,valentina97@medina.es,2025-10-31,10,1
152,Calle Yrigoyen 7170,-34.704177,-58.349757,+34 718 016 487,oliveramarina@gmail.com,2025-05-13,5,1
155,Avenida Cabildo 3675,-34.882428,-58.510352,+34927951251,abel47@gmail.com,2025-07-28,7,1
161,Avenida Gaona 8475,-34.659092,-58.490476,+34724355863,ugonzalo@hotmail.com,2025-09-06,9,1
163,Avenida Directorio 2788,-34.634932,-58.330758,+34 748 73 69 09,eortega@hotmail.com,2025-07-24,7,1
164,Avenida del Libertador 7038,-34.724823,-58.521599,+34962814485,visitacioncalderon@ochoa.org,2025-05-21,5,1
165,Avenida del Libertador 5209,-34.872395,-58.328378,+34 695940807,gabriel35@torre.com,2025-09-16,9,1
169,Avenida Juan B. Justo 3283,-34.61388,-58.566581,+34 737520844,jeremiasguitart@leiva-aleman.es,2025-10-20,10,1
172,Calle Lavalle 3616,-34.654876,-58.550165,+34997 87 52 82,zquevedo@yahoo.com,2025-10-28,10,1
182,Calle Lavalle 6542,-34.679472,-58.422647,+34 710 82 09 72,losaeleuterio@hotmail.com,2025-06-03,6,1
182,Calle Segurola 4577,-34.631081,-58.331005,+34 697 83 65 17,clarisaramon@hotmail.com,2025-09-03,9,1
187,Calle Segurola 8248,-34.776216,-58.460117,+34 712 72 64 46,losadaapolonia@yahoo.com,2025-07-02,7,1
193,Avenida San Martín 1786,-34.80292,-58.355446,+34716396109,uchaves@aviles.es,2025-10-22,10,1
208,Calle Belgrano 764,-34.675644,-58.331513,+34734 82 28 21,enriquegibert@gmail.com,2025-09-16,9,1
209,Avenida Corrientes 7123,-34.789066,-58.485434,+34 898 832 957,loidatorrijos@gmail.com,2025-08-22,8,1
220,Avenida Juan B. Justo 1134,-34.86572,-58.539078,+34 736605870,amendez@rosello-rio.es,2025-07-07,7,1
225,Avenida del Libertador 8850,-34.777166,-58.51185,+34 703339051,scases@hotmail.com,2025-10-31,10,1
225,Calle Lavalle 8077,-34.865709,-58.47068,+34737 79 60 35,seve63@benitez.es,2025-05-09,5,1
228,Calle Lavalle 1677,-34.797421,-58.40297,+34 856 253 026,duranovidio@hotmail.com,2025-10-24,10,1
229,Avenida Cabildo 2653,-34.619726,-58.589974,+34664 26 04 65,maria-angeles14@gmail.com,2025-05-15,5,1
229,Calle 25 de Mayo 9330,-34.668338,-58.351346,+34728 87 23 78,jimenezpalmira@yahoo.com,2025-09-30,9,1
229,Calle Segurola 9624,-34.861246,-58.447111,+34 732405077,violeta54@aguila.com,2025-06-28,6,1
236,Calle Lavalle 5242,-34.608607,-58.34794,+34 709184991,vinasguadalupe@neira.net,2025-09-20,9,1
237,Avenida Directorio 3652,-34.867591,-58.47183,+34 900166465,acostatiburcio@almansa.com,2025-06-23,6,1
243,Avenida San Martín 1195,-34.659715,-58.399559,+34 713 87 54 49,cletoarteaga@garriga.net,2025-06-14,6,1
244,Calle Segurola 212,-34.883659,-58.573802,+34 739 738 475,tamaratamayo@yahoo.com,2025-06-27,6,1
245,Calle Emilio Castro 9315,-34.68101,-58.32641,+34 888572352,gloriabou@yahoo.com,2025-05-19,5,1
249,Avenida Corrientes 3756,-34.875983,-58.533411,+34 710 89 69 36,custodionunez@gmail.com,2025-08-05,8,1
250,Avenida Santa Fe 797,-34.720353,-58.35066,+34846058838,quevedogala@laguna.com,2025-06-05,6,1
253,Calle Belgrano 2617,-34.75526,-58.425969,+34 932 441 332,marisa57@garcia-galan.es,2025-07-23,7,1
262,Avenida Rivadavia 8591,-34.740088,-58.484547,+34707 95 77 11,mercedes88@haro.com,2025-06-24,6,1
264,Avenida Santa Fe 6526,-34.884246,-58.57264,+34858 646 403,vendrellsalvador@llanos.es,2025-07-29,7,1
265,Calle Belgrano 5429,-34.893876,-58.41601,+34859 194 330,ufigueroa@gmail.com,2025-06-19,6,1
281,Calle Rivera Indarte 6677,-34.619424,-58.578569,+34 701 72 18 50,mayolfelicia@ramon.es,2025-08-04,8,1
284,Calle Yrigoyen 4838,-34.819683,-58.35209,+34915 707 414,reynaldo94@hotmail.com,2025-08-11,8,1
287,Avenida Santa Fe 3471,-34.749005,-58.556744,+34627553427,niloarregui@diaz.com,2025-07-11,7,1
294,Calle Rivera Indarte 2794,-34.698448,-58.570577,+34 718 09 42 70,leocadiagomis@gmail.com,2025-10-29,10,1
297,Avenida Cabildo 4708,-34.640584,-58.591241,+34 702 81 89 21,elisabet62@galvez-luis.com,2025-05-12,5,1
297,Calle 25 de Mayo 1673,-34.80104,-58.40739,+34747 93 77 06,lcabrero@hotmail.com,2025-10-09,10,1
310,Calle Yrigoyen 6310,-34.833307,-58.320651,+34731 366 778,rebollogabriel@yahoo.com,2025-09-24,9,1
311,Avenida Gaona 4735,-34.795877,-58.393441,+34710 58 38 92,catalanamador@pedraza-moya.es,2025-10-28,10,1
311,Avenida Santa Fe 2443,-34.843529,-58.532312,+34709 26 75 60,esther61@vargas.es,2025-10-18,10,1
312,Avenida San Martín 5525,-34.824575,-58.532896,+34881 519 982,casanovaursula@merino-guillen.com,2025-09-20,9,1
313,Avenida Corrientes 3071,-34.694517,-58.409404,+34866 722 937,nazario06@hotmail.com,2025-09-18,9,1
313,Calle Yrigoyen 9553,-34.735284,-58.300078,+34 709 440 768,alcantarareinaldo@araujo-ferrero.com,2025-05-12,5,1
326,Calle Yrigoyen 2306,-34.708843,-58.324504,+34705 17 91 13,aranadionisio@jerez.net,2025-10-25,10,1
328,Calle Segurola 5855,-34.720595,-58.302164,+34700 72 63 15,vlarrea@iglesia-ferrer.com,2025-05-27,5,1
332,Calle 25 de Mayo 1570,-34.777699,-58.47658,+34 712 48 26 52,iamat@camps.es,2025-06-24,6,1
332,Calle Lavalle 4272,-34.72597,-58.419898,+34 736 32 69 92,ramirobolanos@gmail.com,2025-05-06,5,1
334,Calle Rivera Indarte 1610,-34.67188,-58.336479,+34 952 254 980,carbajooctavio@gmail.com,2025-10-01,10,1
335,Calle Emilio Castro 3633,-34.888139,-58.59519,+34 729 47 59 40,borja12@tejera-piquer.com,2025-07-28,7,1
335,Calle Lavalle 7835,-34.843746,-58.430532,+34691 11 17 68,ferrandezjaime@yahoo.com,2025-09-02,9,1
342,Avenida Cabildo 2505,-34.678062,-58.372389,+34733 658 787,inocenciobas@hotmail.com,2025-09-30,9,1
342,Avenida del Libertador 1873,-34.662589,-58.324945,+34 701 72 45 82,francisco80@gmail.com,2025-05-19,5,1
348,Calle Belgrano 6516,-34.664486,-58.466801,+34 717895901,bienvenida62@hotmail.com,2025-10-06,10,1
351,Avenida Cabildo 7415,-34.68945,-58.334769,+34 676 204 423,africa09@llobet.es,2025-05-23,5,1
351,Calle Yrigoyen 4850,-34.875346,-58.399067,+34638 55 37 34,blanesmanuel@yahoo.com,2025-06-28,6,1
351,Calle Yrigoyen 9439,-34.748634,-58.499518,+34734 163 101,espadaluna@hotmail.com,2025-06-09,6,1
355,Calle Belgrano 9299,-34.742827,-58.55849,+34 658 908 741,qbejarano@mascaro.es,2025-09-23,9,1
361,Avenida Gaona 5788,-34.638226,-58.598984,+34684657836,candelarioroca@hotmail.com,2025-09-06,9,1
375,Calle Lavalle 2885,-34.794178,-58.510453,+34718 800 175,martigas@yahoo.com,2025-09-03,9,1
387,Avenida Rivadavia 1597,-34.620448,-58.313764,+34 823158406,ferrandizquique@yahoo.com,2025-06-16,6,1
388,Avenida Directorio 619,-34.669759,-58.441581,+34898 39 79 19,vcabrera@hotmail.com,2025-05-01,5,1
389,Avenida San Martín 8229,-34.823439,-58.516657,+34700909004,morenoblanes@gmail.com,2025-05-31,5,1
393,Calle Belgrano 5085,-34.723049,-58.55225,+34 714 815 689,perezsalomon@mayol.com,2025-10-07,10,1
394,Calle Lavalle 1723,-34.666707,-58.348047,+34735069588,lcastrillo@yahoo.com,2025-07-17,7,1
394,Calle Yrigoyen 3269,-34.664071,-58.402422,+34 716 65 07 69,spenas@herrera.es,2025-08-09,8,1
400,Calle Belgrano 3360,-34.822955,-58.3839,+34 734 24 38 67,xdavila@prado.com,2025-10-30,10,1
405,Avenida Gaona 2022,-34.891323,-58.569324,+34956945980,secoroldan@gmail.com,2025-08-26,8,1
406,Calle Belgrano 8397,-34.627981,-58.42657,+34 650 85 94 52,valeria07@herranz-carvajal.com,2025-05-08,5,1
408,Avenida Directorio 1343,-34.839822,-58.408063,+34 707 34 52 54,tbello@gmail.com,2025-05-07,5,1
411,Avenida del Libertador 7157,-34.871639,-58.423901,+34 712635748,jpaz@gmail.com,2025-08-06,8,1
416,Avenida San Martín 6713,-34.666466,-58.307939,+34716 79 29 24,ycalleja@bermudez.es,2025-06-07,6,1
420,Avenida San Martín 933,-34.680105,-58.589591,+34 715960098,laraemelina@yahoo.com,2025-10-01,10,1
423,Calle Belgrano 1993,-34.738284,-58.586239,+34667 45 37 55,lalcantara@yahoo.com,2025-07-16,7,1
427,Calle Segurola 8399,-34.781045,-58.576928,+34 711 382 593,rcoloma@vilar.com,2025-10-07,10,1
428,Avenida Rivadavia 8929,-34.876818,-58.590838,+34 748790609,melania30@moya.es,2025-05-05,5,1
437,Avenida del Libertador 6305,-34.620008,-58.386843,+34731021765,pradonilo@jimenez.com,2025-08-02,8,1
439,Calle Yrigoyen 4647,-34.744123,-58.498373,+34738 644 184,xescamilla@calvet-porcel.com,2025-08-07,8,1
440,Calle Rivera Indarte 6373,-34.801528,-58.411018,+34706 44 83 83,ivanportillo@duran.com,2025-08-30,8,1
442,Avenida Santa Fe 8607,-34.730527,-58.551914,+34 853208820,fernandezana-belen@franco.es,2025-10-09,10,1
447,Avenida Rivadavia 3347,-34.817361,-58.415143,+34 707544561,paco86@hotmail.com,2025-07-28,7,1
448,Calle Belgrano 3230,-34.87329,-58.36873,+34915 227 715,federico41@palmer.es,2025-06-30,6,1
457,Avenida Santa Fe 4928,-34.663595,-58.542367,+34663262129,tiradojose-francisco@aguilar.es,2025-07-11,7,1
463,Calle Belgrano 1316,-34.625653,-58.592523,+34 736 40 01 41,ubartolome@yahoo.com,2025-05-16,5,1
465,Avenida Directorio 1491,-34.756414,-58.396182,+34673 40 52 44,cosme12@salas.es,2025-10-02,10,1
466,Calle Rivera Indarte 4538,-34.665053,-58.300284,+34 737 353 483,bgiralt@priego-carbonell.es,2025-07-30,7,1
468,Avenida Cabildo 5549,-34.68031,-58.421884,+34 740632918,dalilacoca@yahoo.com,2025-09-04,9,1
471,Calle Lavalle 1023,-34.677021,-58.477302,+34 741868858,lillotimoteo@hotmail.com,2025-10-25,10,1
473,Calle Lavalle 3584,-34.757085,-58.54358,+34 972 59 87 52,jacintazabala@canet.es,2025-10-10,10,1
474,Calle 25 de Mayo 3692,-34.686414,-58.367091,+34825224300,eliana02@manuel.com,2025-08-22,8,1
475,Calle Emilio Castro 793,-34.739679,-58.347755,+34 742 542 394,ubernat@gmail.com,2025-06-02,6,1
477,Avenida Cabildo 6371,-34.893555,-58.52968,+34726 743 847,fabianavalenciano@tenorio-carrasco.com,2025-10-13,10,1
477,Calle Yrigoyen 431,-34.802903,-58.427962,+34 711 520 205,aroa93@gmail.com,2025-10-25,10,1
478,Avenida Rivadavia 9098,-34.81932,-58.474588,+34748459459,fulgencio97@yahoo.com,2025-07-22,7,1
482,Avenida Juan B. Justo 9241,-34.881523,-58.397634,+34 715754190,graciabolanos@pavon.com,2025-10-31,10,1
484,Avenida del Libertador 3154,-34.781614,-58.554558,+34 729 220 886,fabiolacifuentes@gmail.com,2025-05-21,5,1
487,Avenida Cabildo 2019,-34.885009,-58.301234,+34 959 731 158,lorena85@cordoba-villalonga.es,2025-09-16,9,1
489,Calle Yrigoyen 8662,-34.741056,-58.462422,+34721 634 587,ponciovalero@rocamora-leal.org,2025-10-17,10,1
491,Avenida Rivadavia 5576,-34.724883,-58.470116,+34 867 655 033,hizquierdo@gmail.com,2025-08-27,8,1
493,Avenida San Martín 827,-34.810744,-58.429807,+34 632 239 533,roldan24@bravo.org,2025-06-14,6,1
495,Avenida Cabildo 9409,-34.787959,-58.440941,+34900 758 656,teruelzacarias@hotmail.com,2025-06-27,6,1
495,Avenida Corrientes 7788,-34.667467,-58.344189,+34729 47 64 74,arielpenalver@hotmail.com,2025-05-05,5,1
501,Avenida San Martín 5785,-34.723321,-58.369851,+34817 62 94 16,dionisiacanovas@galan.com,2025-07-05,7,1
502,Avenida San Martín 4330,-34.847937,-58.464065,+34 800 61 27 24,rafael42@carbo-cozar.es,2025-08-14,8,1
502,Calle Belgrano 2715,-34.620939,-58.370633,+34 712 350 637,carrenorosalva@gmail.com,2025-05-06,5,1
503,Avenida Gaona 4392,-34.612518,-58.300998,+34 977 82 62 92,aabascal@solis.es,2025-05-09,5,1
507,Avenida San Martín 8265,-34.64158,-58.572902,+34866 13 85 10,jordi06@hotmail.com,2025-05-24,5,1
511,Calle Emilio Castro 9334,-34.694937,-58.553545,+34728 423 972,hernanvizcaino@sastre-gual.com,2025-09-17,9,1
512,Avenida Juan B. Justo 3444,-34.656602,-58.413003,+34 633 213 081,galvanalmudena@lozano.org,2025-09-02,9,1
518,Avenida Gaona 1774,-34.730742,-58.48318,+34712 069 794,selenaarjona@fajardo.es,2025-08-18,8,1
519,Avenida Directorio 6643,-34.618662,-58.335368,+34709 50 55 12,diazvidal@yahoo.com,2025-09-03,9,1
520,Avenida Directorio 2920,-34.725564,-58.558962,+34 645 25 81 16,lbaez@yahoo.com,2025-05-28,5,1
524,Avenida Cabildo 3984,-34.701122,-58.575597,+34 704 431 581,dafne71@gmail.com,2025-06-27,6,1
524,Avenida Directorio 7997,-34.755961,-58.476722,+34 957 059 225,samanta21@gmail.com,2025-05-07,5,1
533,Avenida Gaona 4730,-34.702189,-58.586158,+34746 11 27 11,ana-belen66@carballo-font.net,2025-10-30,10,1
542,Calle 25 de Mayo 8978,-34.898248,-58.562763,+34723 97 83 29,pamaya@gmail.com,2025-09-10,9,1
545,Avenida Rivadavia 6433,-34.725011,-58.429687,+34 723 699 389,nbanos@hotmail.com,2025-06-23,6,1
560,Avenida Gaona 3224,-34.748547,-58.366366,+34 884 02 81 34,castroroxana@lucena.es,2025-09-18,9,1
568,Calle 25 de Mayo 8725,-34.840459,-58.329341,+34 729 523 730,maribel19@bueno.es,2025-10-03,10,1
570,Calle Emilio Castro 5920,-34.707232,-58.303348,+34746971642,planarosalinda@vina.org,2025-10-27,10,1
573,Avenida San Martín 7414,-34.899655,-58.302417,+34 737 291 228,candidoconde@hotmail.com,2025-05-21,5,1
574,Calle Rivera Indarte 3594,-34.816179,-58.318395,+34 745 60 41 43,apages@hotmail.com,2025-10-11,10,1
577,Avenida Cabildo 1995,-34.605024,-58.497301,+34 727 768 675,ismaelpinilla@corral.com,2025-07-24,7,1
586,Avenida Rivadavia 7786,-34.895589,-58.44501,+34 741 813 548,luperedondo@gelabert.es,2025-06-09,6,1
589,Avenida Juan B. Justo 2326,-34.811624,-58.50355,+34 696 86 46 70,agoni@yahoo.com,2025-09-25,9,1
590,Avenida Directorio 9245,-34.861013,-58.483935,+34934172014,ignaciaamat@gomez.com,2025-10-08,10,1
593,Avenida Santa Fe 4217,-34.654698,-58.332914,+34720 971 698,alfredo73@salcedo.com,2025-08-29,8,1
593,Calle 25 de Mayo 8376,-34.669569,-58.473001,+34690 68 61 18,iniguezeric@espanol.es,2025-09-10,9,1
599,Avenida del Libertador 6900,-34.800942,-58.528525,+34 812067069,mirtadeo@hotmail.com,2025-10-24,10,1
601,Avenida Cabildo 8408,-34.860101,-58.581596,+34703266515,ruyperales@hotmail.com,2025-08-23,8,1
602,Avenida Rivadavia 5752,-34.624969,-58.31204,+34 745 116 558,angel71@rossello.com,2025-07-14,7,1
609,Avenida Gaona 9013,-34.808829,-58.528788,+34 723 59 68 93,luis-miguelposada@yahoo.com,2025-07-24,7,1
610,Calle Belgrano 6399,-34.891655,-58.344145,+34 863746520,alvaradoingrid@yahoo.com,2025-07-30,7,1
615,Calle Lavalle 3765,-34.64924,-58.585083,+34855 374 180,jaimegordillo@company-gonzalez.es,2025-10-01,10,1
619,Calle Belgrano 6845,-34.756899,-58.366622,+34732 550 518,sanchocriado@yahoo.com,2025-07-07,7,1
620,Calle 25 de Mayo 4406,-34.751814,-58.333841,+34709 604 264,obaquero@hotmail.com,2025-07-16,7,1
623,Avenida Juan B. Justo 351,-34.673317,-58.424876,+34 745 47 93 18,uvall@gmail.com,2025-06-28,6,1
625,Calle Segurola 6027,-34.64798,-58.52056,+34958 872 428,rinconesther@gisbert.com,2025-08-07,8,1
632,Avenida Juan B. Justo 852,-34.745243,-58.380815,+34 747327180,gelabertezequiel@manjon.es,2025-06-16,6,1
635,Avenida Directorio 8117,-34.799626,-58.363998,+34736 387 315,evilar@gmail.com,2025-08-23,8,1
635,Avenida del Libertador 4408,-34.663295,-58.503414,+34746 660 554,bonifacioarrieta@gmail.com,2025-06-20,6,1
638,Avenida Gaona 8374,-34.782919,-58.381277,+34 715 087 227,javier38@yahoo.com,2025-05-12,5,1
650,Avenida San Martín 6156,-34.623115,-58.468891,+34672157761,caridad53@acevedo.com,2025-09-04,9,1
652,Avenida Directorio 2514,-34.70234,-58.301039,+34 981740251,josue61@yahoo.com,2025-06-09,6,1
652,Avenida Santa Fe 4952,-34.621537,-58.443655,+34718 616 928,mateonarcisa@yahoo.com,2025-10-20,10,1
653,Calle 25 de Mayo 7930,-34.82388,-58.556518,+34 631 87 73 98,garcescamilo@hotmail.com,2025-09-16,9,1
655,Avenida Juan B. Justo 2998,-34.676591,-58.590194,+34 622 56 17 77,eutimio64@vall.es,2025-06-09,6,1
658,Avenida del Libertador 998,-34.627239,-58.420903,+34710 689 490,cipriano37@yahoo.com,2025-08-07,8,1
660,Avenida del Libertador 9458,-34.815263,-58.482009,+34739 60 08 95,jorge11@yahoo.com,2025-07-29,7,1
661,Calle Emilio Castro 6921,-34.794587,-58.526778,+34 712 489 115,florvalero@gmail.com,2025-10-11,10,1
664,Calle 25 de Mayo 1200,-34.701608,-58.595255,+34889708909,ytapia@gmail.com,2025-06-27,6,1
666,Calle Segurola 9460,-34.677773,-58.510468,+34 704 78 97 31,cazorlaainoa@hotmail.com,2025-10-04,10,1
670,Avenida Gaona 4652,-34.64864,-58.474396,+34 737 067 614,kike49@giron.com,2025-09-26,9,1
670,Avenida del Libertador 240,-34.828341,-58.406238,+34 735 845 530,cintia40@hotmail.com,2025-09-04,9,1
675,Avenida Rivadavia 6675,-34.68902,-58.38964,+34635 240 606,isidrorueda@yahoo.com,2025-06-16,6,1
678,Avenida Santa Fe 1134,-34.892353,-58.329348,+34 730065797,bartolomecases@roldan.net,2025-05-30,5,1
679,Avenida Santa Fe 5883,-34.767769,-58.363241,+34928002986,julie40@yahoo.com,2025-10-22,10,1
685,Avenida Directorio 2913,-34.630124,-58.564547,+34700 265 411,ccanton@exposito.org,2025-08-29,8,1
685,Avenida del Libertador 4119,-34.614294,-58.362041,+34 695 84 67 08,ysole@hotmail.com,2025-05-03,5,1
685,Calle Emilio Castro 7892,-34.779624,-58.306562,+34739 733 384,felicianacalzada@gmail.com,2025-06-13,6,1
690,Avenida Directorio 6893,-34.755345,-58.368336,+34 725696866,americaalmeida@yahoo.com,2025-08-25,8,1
692,Avenida Directorio 471,-34.731809,-58.399498,+34 977912351,kcerezo@amor.net,2025-08-30,8,1
694,Avenida Directorio 6386,-34.762871,-58.528761,+34 731532752,robertoserna@lerma.es,2025-06-09,6,1
694,Avenida Santa Fe 1358,-34.778298,-58.394143,+34737 270 235,fortunata39@yahoo.com,2025-08-05,8,1
704,Avenida Corrientes 1437,-34.728805,-58.566047,+34 661 90 27 67,victor18@martinez.es,2025-09-22,9,1
706,Avenida Cabildo 1057,-34.718133,-58.337807,+34 738334047,prudenciosala@hotmail.com,2025-09-05,9,1
707,Avenida Rivadavia 2281,-34.670416,-58.3613,+34 852505350,ivanegea@yahoo.com,2025-06-26,6,1
709,Calle Yrigoyen 9158,-34.789167,-58.385138,+34 841 604 830,ariadnallamas@gomis.org,2025-05-30,5,1
721,Calle Belgrano 3675,-34.606464,-58.58152,+34 637 50 17 33,severinocifuentes@silva.com,2025-07-12,7,1
726,Avenida del Libertador 8849,-34.880826,-58.382387,+34 716 32 58 80,csomoza@yahoo.com,2025-08-06,8,1
727,Avenida Directorio 1715,-34.73227,-58.321599,+34 737 014 829,abraham01@real.com,2025-06-02,6,1
730,Avenida Corrientes 5899,-34.611515,-58.479611,+34888 03 28 49,amoresedgar@miralles.com,2025-05-19,5,1
732,Avenida Gaona 3054,-34.677643,-58.424598,+34 877842179,joelmontalban@ochoa.es,2025-06-25,6,1
734,Calle Rivera Indarte 4394,-34.617027,-58.399558,+34673 561 613,otiliaherranz@jaume-mena.es,2025-09-16,9,1
741,Calle Segurola 4107,-34.830973,-58.354897,+34829 15 56 68,fabiana76@yahoo.com,2025-07-19,7,1
743,Calle Yrigoyen 8948,-34.85883,-58.304192,+34 724 659 317,feliciananicolau@olive.net,2025-07-02,7,1
744,Calle Belgrano 7391,-34.710054,-58.594417,+34 932 788 123,gallardoramon@ramos-ochoa.org,2025-10-04,10,1
745,Calle Rivera Indarte 5524,-34.854771,-58.303997,+34 730525599,guadalupe04@yahoo.com,2025-05-01,5,1
751,Calle Emilio Castro 5767,-34.848608,-58.550734,+34915 81 11 27,amadorale@gmail.com,2025-06-14,6,1
752,Avenida del Libertador 8628,-34.791522,-58.341869,+34 732824331,palominolaura@yahoo.com,2025-06-24,6,1
754,Calle Lavalle 2620,-34.655868,-58.478072,+34991328379,iaranda@yahoo.com,2025-06-02,6,1
756,Avenida Cabildo 1156,-34.878555,-58.382081,+34734403527,costaarmida@yahoo.com,2025-05-24,5,1
756,Avenida Rivadavia 5245,-34.807224,-58.464607,+34 709730995,urbano16@hotmail.com,2025-07-04,7,1
759,Calle Emilio Castro 1785,-34.66318,-58.367104,+34 626 61 07 84,marcelino33@yahoo.com,2025-06-02,6,1
760,Calle Yrigoyen 3105,-34.773345,-58.485034,+34 911043630,sgallart@girona.com,2025-05-17,5,1
766,Avenida Cabildo 2623,-34.732404,-58.563908,+34 844 12 18 54,nazaret27@gallardo.es,2025-06-28,6,1
767,Calle Belgrano 7599,-34.701498,-58.327316,+34860 754 046,jesusdonoso@gmail.com,2025-10-03,10,1
771,Calle Lavalle 3720,-34.683186,-58.308056,+34728 606 672,csanz@salgado.com,2025-09-04,9,1
777,Avenida Juan B. Justo 6778,-34.639515,-58.451037,+34749 91 97 47,oliverasherberto@polo.es,2025-05-30,5,1
781,Calle Rivera Indarte 7974,-34.636644,-58.578415,+34713 165 474,psobrino@amaya.com,2025-07-22,7,1
782,Avenida Juan B. Justo 7900,-34.616808,-58.376025,+34 745486920,barberahilario@aguado-perales.net,2025-06-26,6,1
785,Calle 25 de Mayo 3374,-34.897552,-58.59901,+34953913983,oroldan@rio-guardiola.com,2025-06-20,6,1
786,Avenida del Libertador 7172,-34.696794,-58.412571,+34 953 40 47 63,reynaldo27@alcalde.com,2025-07-22,7,1
798,Calle Emilio Castro 5057,-34.803578,-58.519069,+34976 434 914,florentinoadadia@bas-muro.es,2025-08-08,8,1
